task_type,description,hours
manual_reference,"Ручной справочник с типовыми правилами валидации",6
manual_reference_advanced,"Ручной справочник со сложными правилами валидации",12
external_integration,"Справочник с интеграцией получения данных из внешнего источника",10
external_integration_complex,"Справочник с интеграцией из нескольких внешних источников",25
registry_simple,"Реестр с простыми правилами валидации",20
registry_complex,"Реестр классификации данных с сложными правилами валидации",60
registry_with_workflow,"Реестр с рабочим процессом согласования",45
mdm_full,"Полноценное MDM-решение с мастерингом данных",120
rdm_basic,"Базовое решение по управлению нормативно-справочной информацией",35
rdm_advanced,"Расширенное решение НСИ с иерархиями и версиями",80
api_endpoint,"Разработка API эндпоинта для справочника",8
data_migration,"Миграция данных в новый справочник",15
ui_form,"Форма ввода/редактирования записей справочника",10
reporting,"Отчетность по данным справочника",12
validation_rules,"Настройка правил валидации данных",8
workflow_approval,"Рабочий процесс согласования изменений",20
versioning,"Система версионирования записей справочника",18
hierarchy_management,"Управление иерархической структурой справочника",25
deduplication,"Механизм дедупликации записей",30
audit_log,"Журнал аудита изменений справочника",14
