task_type,component,support_effort_hours_per_year
manual_registry,basic_structure,2
manual_registry,validation_rules,3
manual_registry,advanced_validation,5
external_integration,read_only,4
external_integration,sync_basic,6
external_integration,sync_advanced,10
external_integration,api_integration,8
classification_registry,simple,8
classification_registry,complex,20
classification_registry,hierarchical,12
reference_data,standard,6
reference_data,with_versioning,10
reference_data,with_approval_workflow,12
master_data,basic,15
master_data,with_golden_record,20
master_data,with_matching,25
ui_component,grid_view,3
ui_component,search_filter,2
ui_component,bulk_operations,4
ui_component,audit_log,5
data_migration,initial_load,0
data_migration,transformation,0
documentation,technical,0
documentation,user_guide,0
